Subj Day Cond Talker InputFile
s1 day1 Dental T1 "stats.01MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s1 day2 Dental T1 "stats.01MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s2 day1 Dental T1 "stats.02MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s2 day2 Dental T1 "stats.02MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s3 day1 Dental T1 "stats.03MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s3 day2 Dental T1 "stats.03MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s4 day1 Dental T1 "stats.04MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s4 day2 Dental T1 "stats.04MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s5 day1 Dental T1 "stats.05MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s5 day2 Dental T1 "stats.05MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s6 day1 Dental T1 "stats.06MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s6 day2 Dental T1 "stats.06MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s7 day1 Dental T1 "stats.07MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s7 day2 Dental T1 "stats.07MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s8 day1 Dental T1 "stats.08MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s8 day2 Dental T1 "stats.08MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s9 day1 Dental T1 "stats.09MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s9 day2 Dental T1 "stats.09MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s10 day1 Dental T1 "stats.10MTD1_REML+tlrc.HEAD[T1_Dental#0_Coef]"
s10 day2 Dental T1 "stats.10MTD2_REML+tlrc.HEAD[T1_Dental#0_Coef]"
